URL,content_id,rendering_app,publishing_app,document_type,format,schema_name,taxon_title,taxon_base_path,taxon_description
https://www.gov.uk/government/case-studies/deborah-my-only-regret-is-that-i-didnt-do-this-10-years-ago,5ebe43a0-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/foster-care-standards-filling-in-the-workbook,5ef7851d-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/getting-more-pupils-playing-sport,5f12498d-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/how-free-childcare-is-benefiting-families,25c216f5-9bd9-42f5-8d14-34d3db5c0056,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/identifying-bullying-in-schools,5f425ca4-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/managing-bullying-in-schools,5f425ae1-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/non-completion-of-tsd-standards-workbook-case-study,5e13488c-7631-11e4-a3cb-005056011aef,whitehall-frontend,whitehall,form,publication,publication,,,
https://www.gov.uk/government/case-studies/raising-teaching-standards-in-school-sport,5f1252c8-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/school-detention-managing-poor-behaviour,5f43170f-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/school-experience-programme-richard-challoner-school-surrey,5e8d1a9a-7631-11e4-a3cb-005056011aef,whitehall-frontend,whitehall,guidance,publication,publication,,,
https://www.gov.uk/government/case-studies/skills-for-life-learning-centre,5e948f21-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/sle-initial-teacher-training,5f109da8-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,detailed_guide,detailed_guide,detailed_guide,,,
https://www.gov.uk/government/case-studies/spokes,5e948e9e-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
https://www.gov.uk/government/case-studies/staff-leading-by-example-encouraging-good-behaviour,5f439291-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,case_study,case_study,case_study,,,
